"ids","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","temp"
196,-6.6667e+01,-1.7500e+02,-2.3250e+02,3.0009e+02
197,-3.3333e+01,-1.7500e+02,-2.5000e+02,3.0000e+02
198,-3.3333e+01,-1.7500e+02,-2.3250e+02,3.0012e+02
199,0.0000e+00,-1.7500e+02,-2.5000e+02,3.0000e+02
200,0.0000e+00,-1.7500e+02,-2.3250e+02,3.0015e+02
201,3.3333e+01,-1.7500e+02,-2.5000e+02,3.0000e+02
202,3.3333e+01,-1.7500e+02,-2.3250e+02,3.0017e+02
203,6.6667e+01,-1.7500e+02,-2.5000e+02,3.0000e+02
204,6.6667e+01,-1.7500e+02,-2.3250e+02,3.0018e+02
205,1.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
206,1.0000e+02,-1.7500e+02,-2.3250e+02,3.0018e+02
207,1.3333e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
208,1.3333e+02,-1.7500e+02,-2.3250e+02,3.0016e+02
209,1.6667e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
210,1.6667e+02,-1.7500e+02,-2.3250e+02,3.0013e+02
211,2.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
212,2.0000e+02,-1.7500e+02,-2.3250e+02,3.0010e+02
213,2.3333e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
214,2.3333e+02,-1.7500e+02,-2.3250e+02,3.0008e+02
215,2.6667e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
216,2.6667e+02,-1.7500e+02,-2.3250e+02,3.0005e+02
217,3.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
218,3.0000e+02,-1.7500e+02,-2.3250e+02,3.0003e+02
219,3.3333e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
220,3.3333e+02,-1.7500e+02,-2.3250e+02,3.0002e+02
221,3.6667e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
222,3.6667e+02,-1.7500e+02,-2.3250e+02,3.0001e+02
223,4.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
224,4.0000e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
225,4.3333e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
226,4.3333e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
227,4.6667e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
228,4.6667e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
229,5.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
230,5.0000e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
231,5.3333e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
232,5.3333e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
233,5.6667e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
234,5.6667e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
235,6.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
236,6.0000e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
237,6.3333e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
238,6.3333e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
239,6.6667e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
240,6.6667e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
241,7.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
242,7.0000e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
243,7.3333e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
244,7.3333e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
245,7.6667e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
246,7.6667e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
247,8.0000e+02,-1.7500e+02,-2.5000e+02,3.0000e+02
248,8.0000e+02,-1.7500e+02,-2.3250e+02,3.0000e+02
249,-1.6667e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
250,-2.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
251,-1.6667e+02,-1.5000e+02,-2.3250e+02,3.0003e+02
252,-2.0000e+02,-1.5000e+02,-2.3250e+02,3.0003e+02
253,-1.3333e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
254,-1.3333e+02,-1.5000e+02,-2.3250e+02,3.0005e+02
255,-1.0000e+02,-1.5000e+02,-2.5000e+02,3.0000e+02
256,-1.0000e+02,-1.5000e+02,-2.3250e+02,3.0008e+02
257,-6.6667e+01,-1.5000e+02,-2.5000e+02,3.0000e+02
